user_id,activity,timestamp,acc_x,acc_y,acc_z
1,Standing,1499193334556,-7.781,0.046,0.15
1,Standing,1499193334605,-7.785,0.029,0.152
1,Standing,1499193334654,-7.796,0.044,0.156
1,Standing,1499193334703,-7.798,0.06,0.126
1,Standing,1499193334751,-7.783,0.017,0.175
1,Standing,1499193334800,-7.796,0.035,0.152
1,Standing,1499193334850,-7.789,0.068,0.15
1,Standing,1499193334898,-7.802,0.029,0.138
1,Standing,1499193334949,-7.74,0.042,0.132
1,Standing,1499193334996,-7.818,0.029,0.121
1,Standing,1499193335044,-7.751,0.05,0.22
1,Standing,1499193335093,-7.789,0.058,0.082
1,Standing,1499193335141,-7.802,0.046,0.126
1,Standing,1499193335190,-7.777,0.027,0.121
1,Standing,1499193335240,-7.845,0.044,0.146
1,Standing,1499193335288,-7.779,0.076,0.169
1,Standing,1499193335337,-7.777,0.064,0.113
1,Standing,1499193335386,-7.804,0.025,0.14
1,Standing,1499193335435,-7.789,0.056,0.158
1,Standing,1499193335485,-7.843,0.052,0.134
1,Standing,1499193335533,-7.777,0.05,0.162
1,Standing,1499193335581,-7.792,0.042,0.167
1,Standing,1499193335630,-7.812,0.035,0.169
1,Standing,1499193335678,-7.796,0.048,0.15
1,Standing,1499193335728,-7.765,-0.007,0.148
1,Standing,1499193335776,-7.789,0.058,0.187
1,Standing,1499193335825,-7.802,0.029,0.111
1,Standing,1499193335874,-7.82,0.007,0.134
1,Standing,1499193335923,-7.773,0.068,0.101
1,Standing,1499193335972,-7.787,0.042,0.08
1,Standing,1499193336022,-7.787,0.085,0.13
1,Standing,1499193336069,-7.783,0.037,0.16
1,Standing,1499193336118,-7.791,0.062,0.136
1,Standing,1499193336167,-7.832,0.021,0.162
1,Standing,1499193336217,-7.791,0.015,0.185
1,Standing,1499193336266,-7.804,0.066,0.183
1,Standing,1499193336313,-7.824,0.056,0.154
1,Standing,1499193336363,-7.812,0.039,0.166
1,Standing,1499193336412,-7.783,0.039,0.173
